ID,Barcode,Nombre,UsageType (Masculino/Femenino/Universal),TargetAnatomy (Prostata/Clitoris/Vaginal/Anal/Universal),StimulationType (Vibracion/Succion/Empuje/Calentamiento/Interactivo),MotorLogic (Single Channel/Dual Channel)
8001,8001,"SJH-011",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8004,8004,"AP29",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8005,8005,"Dispositivo 8005",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8008,8008,"AATD003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8009,8009,"若拉2代",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8010,8010,"ZAZD048",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8017,8017,"AAFJ066",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8021,8021,"ZACD004",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8028,8028,"A01-034A",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8029,8029,"MM003",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8032,8032,"HB-1816",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8033,8033,"MNSJ001",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8035,8035,"AAZD173",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8037,8037,"AATD293",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8039,8039,"AAGS023",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8040,8040,"XMan030(CD-C2)-M",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8041,8041,"RAHT007",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8042,8042,"GM006",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8044,8044,"AASJ232",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8045,8045,"AASJ258",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8053,8053,"JY021",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8055,8055,"AATD546",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8070,8070,"YCTD017",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8071,8071,"WB-0822B",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8073,8073,"ROCKET",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8075,8075,"AATD652",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8078,8078,"Osito",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8080,8080,"AAGS036",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8083,8083,"YEHT022",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8084,8084,"RC-APP-04",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8088,8088,"S5玫瑰花",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8089,8089,"艾余CL1910",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8093,8093,"AAFJ098",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
